title,url,partner,partner_url,course_type,description,category,image_url,duration_weeks,hours_per_week,level,rating,rating_count,enrolled_count,price,currency,start_date
Starting a Business 5: Managing Finances,https://www.futurelearn.com/courses/starting-a-business-5,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Find out how forecasting and managing your finances can lead to a profitable and sustainable business.,Business & Management,,2,,Introductory level,,,54683,,,
Starting a Business 6: Funding Your Business,https://www.futurelearn.com/courses/starting-a-business-6,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Raising funds in an important when starting a business; find out which source of funding is most suitable for your business idea.,Business & Management,,2,,Introductory level,,,40207,,,
WW1 Heroism: Through Art and Film,https://www.futurelearn.com/courses/ww1-heroism-art-film,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Discover just some of the ways that heroism and the First World War is portrayed through art and film.,Creative Arts & Media,https://ugc.futurelearn.com/uploads/images/cb/40/cb40fe2e-46e5-41c8-af35-f66094614c92.jpg,2,,Introductory level,4.44872,78,37911,39.0,GBP,2026-02-16
Study UK: Preparing for work,https://www.futurelearn.com/courses/study-uk-preparing-for-work,British Council,https://www.futurelearn.com/partners/british-council,Course,Boost your career with essential job search and employability skills with Study UK,Study Skills,https://ugc.futurelearn.com/uploads/images/02/fc/02fc6d6a-8153-49a3-a086-d515fcb4d1a4.jpg,3,,,4.83221,149,,0,GBP,2026-03-02
Incarceration: Are Prisons a Suitable Punishment?,https://www.futurelearn.com/courses/incarceration-prisons-suitable-punishment,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Explore life inside UK prisons. Learn whether this type of punishment reduces crime and if rehabilitation can prevent reoffending.,Law,https://ugc.futurelearn.com/uploads/images/bc/c1/bcc116eb-3765-4335-9b31-9ce2261af323.jpg,2,,,4.64162,173,28265,39.0,GBP,2026-02-16
Introduction to Intercultural Studies: Language and Culture,https://www.futurelearn.com/courses/intercultural-studies-language-culture,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Explore intercultural communication by understanding the relationship between language and cultural identity.,Language,https://ugc.futurelearn.com/uploads/images/34/5f/345fa048-00d6-440b-b58a-d72737d98860.jpg,2,,Introductory level,4.6,85,23575,39.0,GBP,2026-02-16
Introduction to Research Ethics: Working with People,https://www.futurelearn.com/courses/research-ethics-an-introduction,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Find out how to conduct ethical research when working with people by studying this online course for university students.,Study Skills,https://ugc.futurelearn.com/uploads/images/8f/9c/8f9cc9c3-053f-4ed5-8ab9-841a197f7786.jpg,2,,Introductory level,4.72093,129,19594,39.0,GBP,2026-02-16
Skills to Succeed at University,https://www.futurelearn.com/courses/skills-to-succeed-at-university,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Prepare for university and master academic skills that are essential for undergraduates studying in the UK.,Study Skills,,2,,Introductory level,,,7794,,,
Data Management,https://www.futurelearn.com/courses/data-management,The University of Nottingham,https://www.futurelearn.com/partners/the-university-of-nottingham,Course,Gain a solid introduction to data management to help you learn the best practices to use in your plant phenotyping.,IT & Computer Science,,5,,Advanced level,,,,,,
Fluid Dynamics in Practice: Applications to Real-World Challenges,https://www.futurelearn.com/courses/fluid-dynamics-in-practice,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Discover how fluids and computational fluid dynamics shape our world with the University of Leeds.,"Science, Engineering & Maths",,2,,Introductory level,,,975,,,
Statistical Methods,https://www.futurelearn.com/courses/statistical-methods,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,"Learn key statistical methods to confidently analyse and visualise data, and unlock insights to support data-driven decisions.","Science, Engineering & Maths",,3,,Advanced level,,,782,,,
Learning Online: Communicating and Collaborating,https://www.futurelearn.com/courses/learning-and-collaborating,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Become an effective online learner and develop your online communication skills when working with others.,Study Skills,https://ugc.futurelearn.com/uploads/images/bb/ee/bbee46b0-ec6f-4db2-bab2-e4492f89f7a9.jpg,2,,Introductory level,4.48485,99,70518,39.0,GBP,2026-02-16
Exploring Cancer Medicines,https://www.futurelearn.com/courses/exploring-cancer-medicines,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Explore the use of medicines in treating cancer and take your first steps towards becoming a science writer.,Healthcare & Medicine,https://ugc.futurelearn.com/uploads/images/89/70/8970ea82-f91f-4d2d-ab83-4f43ce1f464f.jpg,2,,Introductory level,4.29167,96,65081,39.0,GBP,2026-02-16
Physical Theatre: Exploring the Slap,https://www.futurelearn.com/courses/physical-theatre-exploring-the-slap,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,"Learn about Meyerhold’s form of physical theatre, biomechanics, and understand and perform ‘The Slap’.",Creative Arts & Media,,2,,Introductory level,,,26357,,,
Starting a Business 1: Vision and Opportunity,https://www.futurelearn.com/courses/starting-a-business-1,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Interested in starting a business? This course will help you define your vision and discover opportunities to make it happen.,Business & Management,https://ugc.futurelearn.com/uploads/images/0b/fd/0bfd3873-a896-4707-bb46-188dd36d21ab.jpg,2,,Introductory level,4.53211,109,185353,39.0,GBP,2026-02-16
Ecology and Wildlife Conservation,https://www.futurelearn.com/courses/ecology-and-wildlife-conservation,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Discover ecology and learn how we can protect wildlife to conserve our natural world.,Nature & Environment,https://ugc.futurelearn.com/uploads/images/f3/a1/f3a1dec5-563e-419d-88e4-e9cb6b735771.jpg,2,,Introductory level,4.5534,309,40442,39.0,GBP,2026-02-16
Fundamentals of Robotics for Bioscientists,https://www.futurelearn.com/courses/fundamentals-of-robotics-for-bioscientists,The University of Nottingham,https://www.futurelearn.com/partners/the-university-of-nottingham,Course,Unpack the foundational concepts of autonomous robots to understand their operations and advantages for plant phenotyping.,IT & Computer Science,,4,,Introductory level,,,,,,
A Beginner’s Guide to Film Genres,https://www.futurelearn.com/courses/a-beginners-guide-to-film-genres,Film Distributors' Association,https://www.futurelearn.com/partners/film-distributors-association,Course,Explore what genre means in film and how it shapes both the narrative and the audience’s response to the story on screen.,Creative Arts & Media,,4,,Introductory level,,,6340,,,
