title,url,partner,partner_url,course_type,description,category,image_url,duration_weeks,hours_per_week,level,rating,rating_count,enrolled_count,price,currency,start_date
How to Create Great Online Content,https://www.futurelearn.com/courses/how-to-create-great-online-content-scv,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Discover what makes online content a success and learn how to create engaging content that's in line with your business goals.,IT & Computer Science,,2,,,,,3370,,,
Discover HSK Standard Course: A Taster Course,https://www.futurelearn.com/courses/discover-hsk-standard-course-a-taster-course,Chinese Plus,https://www.futurelearn.com/partners/chinese-plus,Course,Get a taste of practical Chinese skills with the HSK Standard Course and see how it fits your learning goals.,Language,,1,,,,,,,,
Effective Livestock Production with Low Use of Antibiotics,https://www.futurelearn.com/courses/effective-livestock-production,Swedish University of Agricultural Sciences (SLU),https://www.futurelearn.com/partners/slu,Course,Learn what antibiotic resistance is and how to prevent it while increasing productivity among your livestock.,Nature & Environment,,4,,,,,,,,
An Introduction to Programming Using Python,https://www.futurelearn.com/courses/start-coding-today-an-intro-to-python-programming-for-beginners,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Learn Python programming essentials and how to kickstart your tech career with the University of Leeds.,IT & Computer Science,,2,,Introductory level,,,21872,,,
Working with Integrated Development Environments (IDEs),https://www.futurelearn.com/courses/working-with-integrated-development-environments,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Learn how to effectively work with IDEs to develop your digital skills and start your successful tech career.,IT & Computer Science,,2,,Introductory level,,,628,,,
How to Get Into Cloud Computing,https://www.futurelearn.com/courses/how-to-get-into-cloud-computing,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Learn the essential traits of a successful cloud computer and kickstart your tech career with this online cloud computing course.,IT & Computer Science,,2,,Introductory level,,,2788,,,
Get Creative with People to Solve Problems,https://www.futurelearn.com/courses/get-creative-with-people-to-solve-problems-sc,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Increase your problem-solving skills and develop your design thinking mindset using the principles of human-centred design.,IT & Computer Science,,2,,Introductory level,,,3829,,,
Evidence and Data Collection for Problem Solving,https://www.futurelearn.com/courses/evidence-and-data-collection-for-problem-solving-sc,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Discover the importance of data and how to harness its power to help you make better business decisions.,Business & Management,,2,,Introductory level,,,3923,,,
An Introduction to Cryptography,https://www.futurelearn.com/courses/an-intro-to-cryptography,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Delve into the inner workings of cryptographic tools and techniques with the University of Leeds.,IT & Computer Science,,2,,Introductory level,,,2713,,,
Introduction to Technology-Assisted Decision-Making,https://www.futurelearn.com/courses/introduction-to-technology-assisted-decision-making,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,"Boost your decision-making skills with technology-assisted techniques to optimise outcomes in healthcare, industry, and education.",IT & Computer Science,,2,,Introductory level,,,975,,,
How to Get Into Software Development,https://www.futurelearn.com/courses/how-to-get-into-software-development,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Discover the essential skills that will help you succeed as a developer with this interactive online software development course.,IT & Computer Science,,2,,Introductory level,,,3777,,,
How to Get Into AI,https://www.futurelearn.com/courses/how-to-get-into-ai,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Kickstart your AI career by mastering essential technical skills. Learn how AI can grow your professional opportunities.,IT & Computer Science,https://ugc.futurelearn.com/uploads/images/54/f8/54f82fc3-76f1-421d-b2ad-ecad221c5de2.jpg,2,,Introductory level,4.72093,86,10707,39.0,GBP,2025-10-06
Fundamental Skills in Engineering Design,https://www.futurelearn.com/courses/fundamental-skills-in-engineering-design,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Discover the essential skills that will help you succeed as a developer with this interactive online software development course.,"Science, Engineering & Maths",,2,,Introductory level,,,3041,,,
Creating a Great User Experience for Mobile Apps,https://www.futurelearn.com/courses/creating-a-great-user-experience-for-mobile-apps-sc,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Discover the essentials of UX and bring products to life by designing your own mobile app with the University of Leeds.,IT & Computer Science,,2,,,,,1661,,,
Effective Communication for Pregnancy Loss Care,https://www.futurelearn.com/courses/effective-communication-for-pregnancy-loss-care,UCL (University College London),https://www.futurelearn.com/partners/ucl,Course,Learn evidence-based communication strategies to provide sensitive care for individuals affected by pregnancy loss.,Healthcare & Medicine,,2,,Introductory level,,,,,,
Discover Contemporary Chinese: A Taster Course,https://www.futurelearn.com/courses/discover-contemporary-chinese-a-taster-course,Chinese Plus,https://www.futurelearn.com/partners/chinese-plus,Course,Explore essential Chinese language and culture with a free sample course from Contemporary Chinese.,Language,,1,,,,,,,,
Gestión de residuos electrónicos: normalización y evaluación de la conformidad,https://www.futurelearn.com/courses/e-waste-management-standardization-and-conformity-assessment-spanish,EIT RawMaterials,https://www.futurelearn.com/partners/rawmaterials,Course,Estándares globales para la gestión segura de residuos electrónicos a través de una rigurosa evaluación de la conformidad.,Nature & Environment,,2,,,,,,,,
Explorando el Mundo de la Electromovilidad: Conceptos Claves y Estrategias,https://www.futurelearn.com/courses/exploring-the-world-of-electric-mobility-key-concepts-and-strategies-spanish,Transformative Urban Mobility Initiative (TUMI),https://www.futurelearn.com/partners/transformative-urban-mobility-initiative,Course,"Explore conceptos, políticas e innovaciones en electromovilidad para descarbonizar y construir sistemas de transporte sostenibles.",Nature & Environment,,6,,Introductory level,,,665,,,
El reto de los residuos electrónicos,https://www.futurelearn.com/courses/the-e-waste-challenge-spanish,EIT RawMaterials,https://www.futurelearn.com/partners/rawmaterials,Course,Este curso ayuda a los participantes a gestionar los residuos electrónicos de forma responsable y a tomar medidas.,Nature & Environment,,3,,,,,,,,
"Reduciendo los residuos electrónicos mediante el diseño, las políticas y la colaboración internacional",https://www.futurelearn.com/courses/e-waste-reducing-e-waste-by-design-standards-business-policy-spanish,EIT RawMaterials,https://www.futurelearn.com/partners/rawmaterials,Course,"Explora el diseño de productos innovadores, la colaboración global y las políticas que ayudan a prevenir los residuos electrónicos",Nature & Environment,,2,,,,,,,,
Reciclaje inclusivo y sostenible de residuos electrónicos: Soluciones globales para un problema creciente,https://www.futurelearn.com/courses/e-waste-inclusive-sustainable-e-waste-recycling-spanish,EIT RawMaterials,https://www.futurelearn.com/partners/rawmaterials,Course,Explora los desafíos que plantean los residuos electrónicos y descubre las oportunidades del reciclaje sostenible.,Nature & Environment,,2,,,,,,,,
E-Waste Management: Standardisation & Conformity Assessment,https://www.futurelearn.com/courses/e-waste-management-standardization-and-conformity-assessment,EIT RawMaterials,https://www.futurelearn.com/partners/rawmaterials,Course,Explore the role of standards and audits in responsible e-waste management and environmental protection.,Politics & Society,,2,,,,,,,,
Building Intelligent Agent Architectures,https://www.futurelearn.com/courses/building-intelligent-agent-architectures,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Become a GenAI production engineer—fine-tune models, deploy at scale, and maintain reliable, enterprise-ready AI systems.",IT & Computer Science,,2,,,,,,,,
Exploring the World of Electric Mobility: Key Concepts and Strategies,https://www.futurelearn.com/courses/exploring-the-world-of-electric-mobility-key-concepts-and-strategies,Transformative Urban Mobility Initiative (TUMI),https://www.futurelearn.com/partners/transformative-urban-mobility-initiative,Course,"Explore concepts, policies, and innovations in electric mobility to help decarbonise and build more sustainable transport systems.",Nature & Environment,,6,,Introductory level,,,825,,,
The E-Waste Challenge,https://www.futurelearn.com/courses/e-waste-challenge,EIT RawMaterials,https://www.futurelearn.com/partners/rawmaterials,Course,"This course helps participants to manage e-waste responsibly and take action in their lives, businesses, or organizations.",Nature & Environment,,3,,,,,,,,
Inclusive and Sustainable E-Waste Recycling: Global Solutions for a Growing Problem,https://www.futurelearn.com/courses/inclusive-and-sustainable-e-waste-recycling,EIT RawMaterials,https://www.futurelearn.com/partners/rawmaterials,Course,Explore e-waste challenges and discover how sustainable and inclusive recycling transforms waste into opportunity.,"Science, Engineering & Maths",,2,,,,,,,,
Los residuos electrónicos y la salud infantil,https://www.futurelearn.com/courses/e-waste-and-childrens-health-spanish,EIT RawMaterials,https://www.futurelearn.com/partners/rawmaterials,Course,Aborda los desafíos de los residuos electrónicos comprendiendo sus peligros e implementando soluciones.,Nature & Environment,,2,,,,,,,,
Battery Energy: Safety,https://www.futurelearn.com/courses/battery-energy-safety,Deakin University,https://www.futurelearn.com/partners/deakin-university,Course,"Gain expertise in battery safety, management systems, and hazard response for renewable energy sectors.","Science, Engineering & Maths",,3,,,,,,,,
Stepping into Leadership: Essential Skills for New Higher Education Managers,https://www.futurelearn.com/courses/stepping-into-leadership-core-skills-and-confidence-for-new-higher-education-managers,Nottingham Business School,https://www.futurelearn.com/partners/nottingham-business-school,Course,Support your transition into management with practical skills and sector-aligned frameworks for higher education professionals.,Business & Management,,3,,,,,,,,
E-Waste and Children’s Health,https://www.futurelearn.com/courses/e-waste-and-childrens-health,EIT RawMaterials,https://www.futurelearn.com/partners/rawmaterials,Course,Tackle e-waste challenges by understanding its dangers and implementing solutions to protect future generations.,"Science, Engineering & Maths",,2,,,,,,,,
"Reducing E-waste By Design, Standards, Business & Policy",https://www.futurelearn.com/courses/reducing-e-waste-by-design-standards-business-and-policy,EIT RawMaterials,https://www.futurelearn.com/partners/rawmaterials,Course,"Explore how smart design, policy, and global action can reduce the impact of e-waste.",Politics & Society,,2,,,,,,,,
AWS Generative AI for Decision Makers,https://www.futurelearn.com/courses/introduction-to-generative-ai,Amazon Web Services,https://www.futurelearn.com/partners/amazon-web-services,Course,"Get to grips with generative AI’s potential and drive strategic, ethical decisions for your business.",IT & Computer Science,,3,,,,,374,,,
AWS Generative AI for Developers,https://www.futurelearn.com/courses/generative-ai-for-developers,Amazon Web Services,https://www.futurelearn.com/partners/amazon-web-services,Course,"Gain the skills to design, prompt, and deploy generative AI in real-world software projects.",IT & Computer Science,,7,,,,,303,,,
Oral Cancer Prevention,https://www.futurelearn.com/courses/oral-cancer-prevention,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,Learn about oral cancer prevention strategies and their impact on global health and care practices.,Healthcare & Medicine,,4,,Introductory level,,,,,,
AWS Artificial Intelligence Practitioner,https://www.futurelearn.com/courses/aws-artificial-intelligence-practitioner,Amazon Web Services,https://www.futurelearn.com/partners/amazon-web-services,Course,"Gain hands-on skills in AI, ML, and GenAI with AWS tools that drive real-world innovation.",IT & Computer Science,,4,,,,,5373,,,
AI Data Pipelines and Knowledge Systems,https://www.futurelearn.com/courses/ai-data-pipelines-and-knowledge-systems,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Build intelligent AI data pipelines and knowledge systems that power enterprise tools, like chatbots, copilots, and smart search.","Science, Engineering & Maths",,2,,Advanced level,,,,,,
Fundamentals of Creative Technologies and Interactive Experiences,https://www.futurelearn.com/courses/fundamentals-of-creative-technologies-and-interactive-experiences,University of York,https://www.futurelearn.com/partners/york,Course,Bridge creativity and technology to build engaging digital experiences with the University of York.,Creative Arts & Media,,3,,,,,349,,,
Productionising Large Language Models,https://www.futurelearn.com/courses/productionizing-large-language-models,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Learn how to deploy and maintain large language models at scale with reliable, secure, and cost-effective practices.","Science, Engineering & Maths",,2,,Advanced level,,,,,,
Forensic Psychology: Witness Investigation,https://www.futurelearn.com/courses/forensic-psychology,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Discover how psychology can help obtain evidence from eyewitnesses in police investigations and prevent miscarriages of justice.,Psychology & Mental Health,https://ugc.futurelearn.com/uploads/images/1e/cf/1ecf973e-deee-460f-bd7d-b54846f6f724.jpg,8,,,4.78125,512,,0,GBP,2025-09-15
"World War 1: Trauma, Memory, Controversy",https://www.futurelearn.com/courses/ww1-trauma,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Explore the traumatic effects of WW1 on soldiers and civilians. Discover how we remember and debate the history of this war.,History,https://ugc.futurelearn.com/uploads/images/25/a1/25a10256-63cb-4118-8da8-d832a8f2d9dd.jpg,4,,,4.75122,205,,0,GBP,2025-09-15
Health and Wellbeing in the Ancient World,https://www.futurelearn.com/courses/ancient-health,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,"Use literary and archaeological evidence to see how ancient Greeks and Romans approached health, well-being and societal issues.",Psychology & Mental Health,https://ugc.futurelearn.com/uploads/images/52/9e/529e48aa-322f-4753-99aa-089be07dfb44.jpg,6,,,4.66184,207,,0,GBP,2025-09-15
The Online Educator: People and Pedagogy,https://www.futurelearn.com/courses/the-online-educator,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,"Design engaging courses, make your teaching more inclusive, navigate online research ethics and shape your digital identity.",Teaching,https://ugc.futurelearn.com/uploads/images/3b/3f/3b3fd5f8-59c2-4f9e-91d5-4d626b078cd5.jpg,4,,,4.31707,123,,0,GBP,2025-09-15
Energy Management: Strategies and Approaches,https://www.futurelearn.com/courses/energy-management-strategies-approaches,Deakin University,https://www.futurelearn.com/partners/deakin-university,Course,"Develop skills in energy management to optimise efficiency across residential, commercial, and industrial sectors.","Science, Engineering & Maths",,3,,,,,,,,
Investigating a Murder with Forensic Psychology,https://www.futurelearn.com/courses/investigating-a-murder-with-forensic-psychology,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Experience what it’s like to be a detective in a murder investigation as you learn how psychology can help crack the case.,Politics & Society,https://ugc.futurelearn.com/uploads/images/58/36/58360ffe-48db-45c4-afeb-156d7a7d9466.jpg,4,,,4.46602,103,,0,GBP,2025-09-15
Start Writing Fiction,https://www.futurelearn.com/courses/start-writing-fiction,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,"Get started with your own fiction writing, focusing on the central skill of creating characters, with this hands-on course.",Creative Arts & Media,https://ugc.futurelearn.com/uploads/images/a5/57/a5572707-2901-4509-b150-697fa8f0561c.jpg,8,,,4.68866,970,,0,GBP,2025-09-15
In the Night Sky: Orion,https://www.futurelearn.com/courses/orion,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,"Explore the night sky, discover how stars are formed and find out about exoplanets, all through the constellation of Orion.","Science, Engineering & Maths",https://ugc.futurelearn.com/uploads/images/10/f1/10f10936-74a2-4c2a-939a-9306d4fe9f3a.jpg,4,,,4.30435,69,,0,GBP,2025-09-15
The Power of Languages,https://www.futurelearn.com/courses/the-power-of-languages,University of York,https://www.futurelearn.com/partners/york,Course,"Explore how languages shape identity, culture, and power in the world with the University of York.",Language,,3,,,,,791,,,
Moons,https://www.futurelearn.com/courses/moons,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Explore the many moons of our Solar System. Find out what makes them special and ask whether we send humans to our Moon again.,"Science, Engineering & Maths",https://ugc.futurelearn.com/uploads/images/13/32/1332a32c-83a9-4de1-8c2a-2a68c2510fc9.jpg,8,,,4.7382,233,,0,GBP,2025-09-15
Low-Budget Video Production: Visual Communication for Small Charities,https://www.futurelearn.com/courses/low-budget-video-production-for-small-charities,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Understand how video can expand and enhance your organisation’s communications and develop practical skills for your productions.,Creative Arts & Media,,4,,,,,,,,
Project Management: Beyond the Basics,https://www.futurelearn.com/courses/project-management-beyond-the-basics,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Build your existing project management knowledge and develop the skills to manage teams and deliver effective projects.,Business & Management,https://ugc.futurelearn.com/uploads/images/6e/79/6e792c78-6647-454f-876f-fa1b475fcda6.jpg,4,,,4.63212,193,,0,GBP,2025-09-15
Contemporary Communication Strategies for the Modern Workplace,https://www.futurelearn.com/courses/contemporary-communication-strategies-for-the-modern-workplace,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Enhance your workplace communication skills to collaborate effectively, manage conflict, and build professional relationships.",Business & Management,,2,,,,,487,,,
Introduction to Cyber Security,https://www.futurelearn.com/courses/introduction-to-cyber-security,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Learn the essentials of cyber security and build your skills to better protect your digital information from security threats.,IT & Computer Science,https://ugc.futurelearn.com/uploads/images/36/d6/36d68953-a00a-4f96-8016-7dc8607c7771.jpg,8,,,4.68739,563,,0,GBP,2025-09-15
Introduction to Phenomenology and its Application in Qualitative Research,https://www.futurelearn.com/courses/putting-phenomenology-into-use-introduction-to-phenomenology-and-its-application-to-qualitative-research,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Find out about the philosophical fundamentals of phenomenology and how it can be integrated in qualitative research.,Study Skills,,4,,,,,,,,
From Notation to Performance: Understanding Musical Scores,https://www.futurelearn.com/courses/musical-scores,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Find out how musicians turn the notation of a musical score into a memorable performance. Change how you listen to music.,Creative Arts & Media,https://ugc.futurelearn.com/uploads/images/32/db/32db6f0d-a6f2-4b9f-a7b5-812aa07ada81.jpg,4,,,4.53333,75,,0,GBP,2025-09-15
Global Ethics: An Introduction,https://www.futurelearn.com/courses/global-ethics,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Explore the key ethical theories surrounding global challenges and learn how philosophy can be used to address these problems.,Politics & Society,https://ugc.futurelearn.com/uploads/images/34/75/3475f995-376a-4d7b-9b73-ed77c558bcca.jpg,4,,,4.52439,82,,0,GBP,2025-09-15
Metallo-β-Lactamase (MBL) Infections: Diagnosis and Management,https://www.futurelearn.com/courses/metallo-lactamase-infections-diagnosis-and-management,BSAC,https://www.futurelearn.com/partners/british-society-for-antimicrobial-chemotherapy,Course,Build knowledge on the diagnosis and management of MBL infections with a variety of educational resources and expert guidance.,Healthcare & Medicine,,2,,Intermediate level,,,509,,,
Challenging Wealth and Income Inequality,https://www.futurelearn.com/courses/inequalities-in-personal-finance,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Explore the concerns about rising wealth and income inequality between different generations in developed countries.,Politics & Society,,4,,,,,,,,
Becoming a Teacher,https://www.futurelearn.com/courses/thinking-about-teaching,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Take your first steps towards teaching with this practical course exploring the basics of what it means to become a teacher.,Teaching,https://ugc.futurelearn.com/uploads/images/d9/4e/d94e62b0-4135-4eaf-9242-ff3d64922193.jpg,4,,,4.82099,162,,0,GBP,2025-09-15
"Why Religion Matters: Religious Literacy, Culture and Diversity",https://www.futurelearn.com/courses/why-religion-matters,The Open University,https://www.futurelearn.com/partners/the-open-university,Course,Discover why religion is important for understanding and engaging with global challenges.,Politics & Society,https://ugc.futurelearn.com/uploads/images/a8/7e/a87efc18-fb99-46a7-b7c6-8d6a9edde879.jpg,4,,,4.41237,97,,0,GBP,2025-09-15
Introduction to Pharmacotherapy in Geriatrics,https://www.futurelearn.com/courses/introduction-to-pharmacotherapy-in-geriatrics,Universiti Malaya,https://www.futurelearn.com/partners/universiti-malaya,Course,Discover how changes in the elderly can affect how medicine works to help you provide safe and effective care.,Healthcare & Medicine,,2,,Intermediate level,,,,,,
Generative AI Architectures & Prompt Design,https://www.futurelearn.com/courses/generative-ai-architectures-prompt-design,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Build expertise in generative AI system design, prompt engineering, and enterprise integration for scalable solutions.",Business & Management,,2,,Intermediate level,,,339,,,
Sustainable Healthcare: Smart Waste Management in Action,https://www.futurelearn.com/courses/sustainable-healthcare-smart-waste-management-in-action,Skåne Care,https://www.futurelearn.com/partners/skane-care,Course,"Discover how healthcare professionals can reduce waste, cut costs, and lead sustainable change in medical environments.",Healthcare & Medicine,,4,,Introductory level,,,,,,
"Integrated Ocean Planning: Marine Protected Areas, Multi-Use & Business Pathways",https://www.futurelearn.com/courses/integrated-ocean-planning-marine-protected-areas-multi-use-and-business-pathways,SUBMARINER Network for Blue Growth,https://www.futurelearn.com/partners/submariner-network,Course,"Explore how ocean planning and MPAs drive innovation, and develop skills for sustainable marine business and policy.",Business & Management,,4,,,,,,,,
Antimicrobial Databases and Genotype Prediction: Data Sharing and Analysis,https://www.futurelearn.com/courses/antimicrobial-databases-and-genotype-prediction-data-sharing-and-analysis,Wellcome Connecting Science,https://www.futurelearn.com/partners/wellcome-genome-campus,Course,"Predict antimicrobial resistance, master data-sharing, and enhance your expertise in AMR genomics using cutting-edge databases.",Healthcare & Medicine,,3,,,,,,,,
Accessibility in Government: Getting Started,https://www.futurelearn.com/courses/accessibility-in-government,Government Digital and Data,https://www.futurelearn.com/partners/government-campus-uk,Course,"Discover clear, practical strategies to embed accessibility and inclusivity in government settings.",Business & Management,,2,,Introductory level,,,1255,,,
Strategic Sustainability in Global Business: Foundations and Innovation,https://www.futurelearn.com/courses/strategic-sustainability-in-global-business,Salford Business School,https://www.futurelearn.com/partners/salford-business-school,Course,Master global sustainability strategy with frameworks and tools to create impact in business and society.,Business & Management,,3,,,,,,,,
User Research in Government: Developing Further,https://www.futurelearn.com/courses/user-research-in-government-l2-,Government Digital and Data,https://www.futurelearn.com/partners/government-campus-uk,Course,Deepen your understanding of user research concepts and learn how to confidently apply them in practice.,Business & Management,,5,,Intermediate level,,,615,,,
Supporting and Normalising LGBTQ+ Inclusion in Schools,https://www.futurelearn.com/courses/inclusive-education-supporting-and-normalising-lgbtq-inclusion-in-schools,University of Reading,https://www.futurelearn.com/partners/university-of-reading,Course,Empower educators with practical strategies to foster LGBTQ+ inclusion and challenge discrimination in schools.,Teaching,,3,,Introductory level,,,,,,
Hydrogen Engineering: Handling Hydrogen for Engineers,https://www.futurelearn.com/courses/handling-hydrogen-for-engineers,Deakin University,https://www.futurelearn.com/partners/deakin-university,Course,Learn risk mitigation processes and safe management of hydrogen by exploring its physical and thermodynamic properties.,"Science, Engineering & Maths",,2,,,,,,,,
Bootcamp de Redacción Empresarial y Técnica: Domina la Precisión y la Claridad,https://www.futurelearn.com/courses/bootcamp-de-redacci-n-empresarial-y-t-cnica-domina-la-precisi-n-y-la-claridad,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Mejora tu redacción empresarial: claridad, persuasión e integración de IA, todo en un curso para principiantes.",Business & Management,,2,,Introductory level,,,,,,
Hydrogen in the Built Environment,https://www.futurelearn.com/courses/hydrogen-in-the-built-environment,Deakin University,https://www.futurelearn.com/partners/deakin-university,Course,Broaden your understanding of challenges and solutions to hydrogen projects in the real world.,"Science, Engineering & Maths",,3,,,,,,,,
Hydrogen Engineering: Electrolyser Fundamentals,https://www.futurelearn.com/courses/hydrogen-engineering-electrolyser-fundamentals,Deakin University,https://www.futurelearn.com/partners/deakin-university,Course,Gain essential knowledge about electrolysers for hydrogen engineering applications.,"Science, Engineering & Maths",,2,,,,,,,,
Hydrogen Engineering: Fuel Cell Fundamentals,https://www.futurelearn.com/courses/hydrogen-engineering-fuel-cell-fundamentals,Deakin University,https://www.futurelearn.com/partners/deakin-university,Course,Gain essential knowledge about hydrogen fuel cells for engineering applications.,"Science, Engineering & Maths",,2,,,,,,,,
Diseño de Procesos Impulsado por IA: Moderniza los Flujos de Trabajo Empresariales,https://www.futurelearn.com/courses/dise-o-de-procesos-impulsado-por-ia-moderniza-los-flujos-de-trabajo-empresariales,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Curso con casos y herramientas IA para crear procesos eficientes. Ideal para analistas, consultores y gerentes.",Business & Management,,2,,Advanced level,,,,,,
Environmental Justice for Fair and Effective Global Nature Restoration,https://www.futurelearn.com/courses/just-restoration-environmental-justice-for-fair-and-effective-global-nature-restoration,UEA (University of East Anglia),https://www.futurelearn.com/partners/university-of-east-anglia,Course,Integrate justice into restoration and explore sustainable outcomes for ecosystems and communities.,Nature & Environment,,4,,Intermediate level,,,341,,,
Preparing to Study at the Master's Level: Essential Skills for Academic Success,https://www.futurelearn.com/courses/preparing-to-study-at-pgt-level,University of Bath,https://www.futurelearn.com/partners/university-of-bath,Course,"Prepare confidently for postgraduate study with essential skills for academic, digital, and employability success.",Study Skills,,4,,,,,1771,,,
Healthy Eating for Seniors: A Comprehensive Guide,https://www.futurelearn.com/courses/healthy-eating-for-seniors-a-comprehensive-guide,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,"Design nutritious, senior-friendly meals with practical tips on texture, nutrition, and the latest food trends for healthy ageing.",Healthcare & Medicine,,6,,Introductory level,,,483,,,
Introduction to Urban Sustainable Planning and Design,https://www.futurelearn.com/courses/introduction-to-urban-sustainable-planning-and-design,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,"Design a greener future by exploring urban sustainability, planning, architecture and environmental studies.","Science, Engineering & Maths",,6,,Introductory level,,,599,,,
Python for Data Science,https://www.futurelearn.com/courses/python-for-data-science,University of Leeds,https://www.futurelearn.com/partners/university-of-leeds,Course,Get started with Python programming and build the skills needed to write code using Jupyter Notebook.,IT & Computer Science,,3,,,,,1650,,,
New Perspectives on Metabolism: From Gut to Brain,https://www.futurelearn.com/courses/new-perspective-in-metabolism,Taipei Medical University,https://www.futurelearn.com/partners/taipei-medical-university,Course,"Discover how gut microbes, sleep, and brain-liver connections are reshaping our understanding of metabolism.",Healthcare & Medicine,,4,,Introductory level,,,548,,,
Smart Investment Strategies for Value Growth,https://www.futurelearn.com/courses/smart-investment-strategies-for-value-gowth,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,"Master practical value and growth investing strategies and build analytical skills for long-term, real-world success.",Business & Management,,2,,Introductory level,,,501,,,
Learn Bahasa Melayu: Expressions and Conversations,https://www.futurelearn.com/courses/learn-bahasa-melayu-through-conversations,Universiti Malaya,https://www.futurelearn.com/partners/universiti-malaya,Course,Start learning Malay today: learn the basics of speaking and writing in the Malay language and explore Malaysian culture.,Language,,3,,Intermediate level,,,313,,,
AI CEO Blueprint: Leading Enterprise Innovation with GenAI,https://www.futurelearn.com/courses/ai-ceo-blueprint-leading-enterprise-innovation-with-genai,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,Explore how to harness GenAI to build strategic frameworks that support innovation and lead organisational change.,Business & Management,,2,,Advanced level,,,,,,
Data-Driven Storytelling: Influence Investment with Visual Insights,https://www.futurelearn.com/courses/data-driven-storytelling-influence-investment-with-visual-insights,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,Transform complex data into persuasive stories that inspire decisions and drive investment results.,Business & Management,,2,,Introductory level,,,,,,
Walter Scott: The Man Behind the Monument,https://www.futurelearn.com/courses/walter-scott,University of Aberdeen,https://www.futurelearn.com/partners/university-of-aberdeen,Course,"Discover the writer, collector, and cultural icon who remains one of Scotland’s most enduring literary legends.",Literature,https://ugc.futurelearn.com/uploads/images/97/25/9725694b-186c-42bd-a191-ef96659de9ea.jpg,4,,,4.82743,226,7441,99.0,GBP,2025-08-04
Sustainable Solutions with GenAI: Harnessing AI for Social & Environmental Impact,https://www.futurelearn.com/courses/sustainable-solutions-with-genai,Starweaver,https://www.futurelearn.com/partners/starweaver,Course,Discover how to use GenAI for real-world social and environmental progress and ethical impact.,Business & Management,,2,,Intermediate level,,,,,,
Participating in the Internet: How to Engage Actively in Cyberspace,https://www.futurelearn.com/courses/participating-in-the-internet,Keio University,https://www.futurelearn.com/partners/keio-university,Course,"Become an active participant in Internet ecosystems by mastering its management, governance, and communities.",IT & Computer Science,,3,,Introductory level,,,,,,
Identity & Inclusion: Behavioural Insights for Leaders,https://www.futurelearn.com/courses/identity-inclusion-behavioural-insights-for-leaders,Durham University,https://www.futurelearn.com/partners/durham-university,Course,Explore the psychology of team identity and learn to lead organisations with confidence.,Psychology & Mental Health,,3,,,,,397,,,
Cybersecurity for Citizens and Professionals,https://www.futurelearn.com/courses/cybersecurity-for-citizens-and-professionals,University of Padova,https://www.futurelearn.com/partners/university-of-padova,Course,Protect your digital life and professional reputation with practical cybersecurity strategies.,IT & Computer Science,,6,,,,,,,,
